country,location,address,latitude,longitude
UK,#1 ROYAL COUNTY DOWN G.C. (CHAMPIONSHIP),"36 Golf Links Rd, Newcastle BT33 0AN, United Kingdom",54.2193092845891,-5.88292458920268
NZ,#2 TARA ITI G.C.,"Mangawhai 0975, New Zealand",-36.1263012721687,174.616831198242
UK,#3 MUIRFIELD,"Duncur Rd, Muirfield, Gullane EH31 2EG, United Kingdom",56.0420124161823,-2.82078795539417
UK,#4 ROYAL DORNOCH G.C. (CHAMPIONSHIP),"Royal Dornoch Club Golf, Golf Rd, Dornoch IV25 3LW, United Kingdom",57.878991229831,-4.02364223469457
AUS,#5 ROYAL MELBOURNE G.C. (WEST),"Cheltenham Rd, Black Rock VIC 3193, Australia",-37.9692857681285,145.030401597974
UK,#6 THE OLD COURSE AT ST. ANDREWS,"W Sands Rd, St Andrews KY16 9XL, United Kingdom",56.3438144343148,-2.80303431358196
FR,#7 MORFONTAINE G.C.,"60128 Mortefontaine, France",49.1473155480434,2.60067587104068
UK,#8 ROYAL PORTRUSH G.C. (DUNLUCE),"Dunluce Rd, Portrush BT56 8JQ, United Kingdom",55.1998121893025,-6.63543060177452
KO,#9 SOUTH CAPE OWNERS CLUB,"249 Jindong-ri, Changseon-myeon, Namhae-gun, Gyeongsangnam-do, South Korea",34.8365623548957,128.073860787647
UK,#10 TRUMP TURNBERRY (AILSA),"Turnberry, Girvan KA26 9LS, United Kingdom",55.3152289395669,-4.8336903538029
CA,#11 CABOT CLIFFS,"15933 Central Ave, Inverness, NS B0E 1N0, Canada",46.2366378932932,-61.3022680885633
AUS,#12 KINGSTON HEATH G.C.,"Kingston Rd, Cheltenham VIC 3192, Australia",-37.9558163606666,145.085811840303
JAP,#13 HIRONO G.C.,"7 Chome-3 Shijimicho Hirono, Miki, Hyogo 673-0541, Japan",34.7704323046201,135.021710199402
CHN,#14 SHANQIN BAY G.C.,Wanning City,19.0590627158541,110.563582359001
UK,#15 SUNNINGDALE G.C. (OLD),"Ridgemount Rd, Ascot SL5 9RR, United Kingdom",51.3889277822516,-0.631258472871894
AUS,#16 BARNBOUGLE DUNES,"425 Waterhouse Rd, Bridport TAS 7262, Australia",-41.0042863714924,147.437671339187
UK,#17 BALLYBUNION G.C. (OLD),"Sandhill Rd, Ballybunion, Co. Kerry, Ireland",52.4948208364071,-9.67492658817446
KO,#18 THE CLUB AT NINE BRIDGES,"34-156 Gwangpyeong-ro, Andeok-myeon, Seogwipo-si, Jeju-do, South Korea",33.3419692135663,126.405512955382
AUS,#19 ELLERSTON G.C.,"Ellerston NSW 2337, Australia",-31.7998569792261,151.30206689767
UK,#20 CARNOUSTIE G. LINKS (CHAMPIONSHIP),"Links House, Links Parade, Carnoustie DD7 7JE, United Kingdom",56.4964449915992,-2.71624820150973
AUS,#21 CAPE WICKHAM LINKS,"Cape Wickham Rd, Wickham TAS 7256, Australia",-39.5961509749835,143.934372297889
NZ,#22 CAPE KIDNAPPERS G. CSE.,"446 Clifton Road, Te Awanga 4180, New Zealand",-39.6535463366641,177.040836755563
UK,#23 ROYAL BIRKDALE G.C.,"Waterloo Rd, Southport PR8 2LX, United Kingdom",53.6217929947003,-3.03241677278679
AUS,#24 ROYAL MELBOURNE G.C. (EAST),"Cheltenham Rd, Black Rock VIC 3193, Australia",-37.9692857681322,145.030390869004
CA,#25 ST. GEORGE'S G. AND C.C.,"1668 Islington Ave, Etobicoke, ON M9A 3M9, Canada",43.9116243362604,-79.556227346218
